Symbol;Name;MarketCap;IPOyear;Sector;industry
SYNL;Synalloy Corporation;$92.43M;n/a;Basic Industries;Steel/Iron Ore
SYNA;Synaptics Incorporated;$1.6B;2002;Technology;EDP Services
SNCR;Synchronoss Technologies, Inc.;$769.32M;2006;Technology;EDP Services
SNDX;Syndax Pharmaceuticals, Inc.;$232.4M;2016;Health Care;Major Pharmaceuticals
SGYP;Synergy Pharmaceuticals, Inc.;$839.06M;n/a;Health Care;Major Pharmaceuticals
SNPS;Synopsys, Inc.;$11.52B;1992;Technology;Computer Software: Prepackaged Software
SYNT;Syntel, Inc.;$1.56B;1997;Technology;EDP Services
SYMX;Synthesis Energy Systems, Inc.;$37.54M;n/a;Basic Industries;Major Chemicals
SYPR;Sypris Solutions, Inc.;$35.95M;n/a;Capital Goods;Industrial Machinery/Components
SYRS;Syros Pharmaceuticals, Inc.;$579.37M;2016;Health Care;Major Pharmaceuticals
TROW;T. Rowe Price Group, Inc.;$19.9B;1986;Finance;Investment Bankers/Brokers/Service
TTOO;T2 Biosystems, Inc.;$91.17M;2014;Health Care;Medical/Dental Instruments
TRHC;Tabula Rasa HealthCare, Inc.;$254.01M;2016;Miscellaneous;Business Services
TCMD;Tactile Systems Technology, Inc.;$480.93M;2016;Health Care;Medical/Dental Instruments
TAIT;Taitron Components Incorporated;$9.24M;1995;Consumer Non-Durables;Electronic Components
TTWO;Take-Two Interactive Software, Inc.;$9.29B;1997;Technology;Computer Software: Prepackaged Software
TLND;Talend S.A.;$1.12B;2016;Technology;Computer Software: Prepackaged Software
TNDM;Tandem Diabetes Care, Inc.;$21.93M;2013;Health Care;Medical/Dental Instruments
TLF;Tandy Leather Factory, Inc.;$77.45M;n/a;Consumer Non-Durables;Apparel
TANH;Tantech Holdings Ltd.;$66.86M;2015;Basic Industries;Major Chemicals
TPIV;TapImmune Inc.;$29.56M;n/a;Health Care;Major Pharmaceuticals
TEDU;Tarena International, Inc.;$1.07B;2014;Consumer Services;Other Consumer Services
TATT;TAT Technologies Ltd.;$92.26M;n/a;Capital Goods;Aerospace
TAYD;Taylor Devices, Inc.;$42.44M;n/a;Capital Goods;Industrial Machinery/Components
CGBD;TCG BDC, Inc.;$1.15B;2017;n/a;n/a
TCPC;TCP Capital Corp.;$975.95M;2012;n/a;n/a
AMTD;TD Ameritrade Holding Corporation;$23.92B;1997;Finance;Investment Bankers/Brokers/Service
TEAR;TearLab Corporation;$14.51M;n/a;Health Care;Medical/Dental Instruments
TECD;Tech Data Corporation;$4.01B;1986;Technology;Retail: Computer Software & Peripheral Equipment
TCCO;Technical Communications Corporation;$9.66M;n/a;Technology;Radio And Television Broadcasting And Communications Equipment
TTGT;TechTarget, Inc.;$262.64M;2007;Miscellaneous;Business Services
TGLS;Tecnoglass Inc.;$286.32M;2012;Consumer Durables;Electronic Components
TGEN;Tecogen Inc.;$84M;2014;Capital Goods;Industrial Machinery/Components
TNAV;Telenav, Inc.;$306.14M;2010;Capital Goods;Industrial Machinery/Components
TTEC;TeleTech Holdings, Inc.;$1.87B;1996;Technology;Professional Services
