Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,;
AKAM,Akamai Technologies, Inc.,47.87,$8.23B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,;
AKTX,Akari Therapeutics Plc,3.75,$44.16M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,;
AKCA,Akcea Therapeutics, Inc.,14.99,$962.33M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca,;
AKBA,Akebia Therapeutics, Inc.,13.2,$621.55M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,;
AKER,Akers Biosciences Inc,0.9501,$8.45M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,;
AKRX,Akorn, Inc.,33.47,$4.18B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,;
AKTS,Akoustis Technologies, Inc.,6.44,$122.84M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts,;
ALRM,Alarm.com Holdings, Inc.,38.79,$1.8B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,;
ALSK,Alaska Communications Systems Group, Inc.,2.36,$123.53M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,;
AMRI,Albany Molecular Research, Inc.,21.72,$933.14M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,;
ALBO,Albireo Pharma, Inc.,23.16,$204.33M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo,;
ABDC,Alcentra Capital Corp.,11.37,$152.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,;
ADHD,Alcobra Ltd.,1.08,$29.77M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,;
ALDR,Alder BioPharmaceuticals, Inc.,9.45,$639.39M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,;
ALDX,Aldeyra Therapeutics, Inc.,4.4,$66.58M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,;
